taxon_key,taxon_name,common_name,genus,species
600006,Coryphaena hippurus,Common dolphinfish,Coryphaena,hippurus
600077,Istiophorus platypterus,Indo-Pacific sailfish,Istiophorus,platypterus
600089,Acanthocybium solandri,Wahoo,Acanthocybium,solandri
600098,Euthynnus lineatus,Black skipjack,Euthynnus,lineatus
600107,Katsuwonus pelamis,Skipjack tuna,Katsuwonus,pelamis
600114,Sarda orientalis,Striped bonito,Sarda,orientalis
600117,Scomber japonicus,Chub mackerel,Scomber,japonicus
600136,Scomberomorus sierra,Pacific sierra,Scomberomorus,sierra
600143,Thunnus albacares,Yellowfin tuna,Thunnus,albacares
600146,Thunnus obesus,Bigeye tuna,Thunnus,obesus
600216,Makaira nigricans,Blue marlin,Makaira,nigricans
600217,Istiompax indica,Black marlin,Istiompax,indica
600218,Makaira mazara,Indo-Pacific blue marlin,Makaira,mazara
600223,Kajikia audax,Striped marlin,Kajikia,audax
600226,Xiphias gladius,Swordfish,Xiphias,gladius
600348,Epinephelus analogus,Spotted grouper,Epinephelus,analogus
600382,Seriola lalandi,Yellowtail amberjack,Seriola,lalandi
600412,Elagatis bipinnulata,Rainbow runner,Elagatis,bipinnulata
600752,Isurus oxyrinchus,Shortfin mako,Isurus,oxyrinchus
600753,Isurus paucus,Longfin mako,Isurus,paucus
600785,Mugil cephalus,Flathead grey mullet,Mugil,cephalus
600868,Carcharhinus falciformis,Silky shark,Carcharhinus,falciformis
600874,Carcharhinus limbatus,Blacktip shark,Carcharhinus,limbatus
600875,Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinus,longimanus
600886,Galeocerdo cuvier,Tiger shark,Galeocerdo,cuvier
600898,Prionace glauca,Blue shark,Prionace,glauca
600912,Sphyrna lewini,Scalloped hammerhead,Sphyrna,lewini
600917,Sphyrna zygaena,Smooth hammerhead,Sphyrna,zygaena
601408,Lutjanus argentiventris,Yellow snapper,Lutjanus,argentiventris
601732,Mola mola,Ocean sunfish,Mola,mola
601906,Caranx melampygus,Bluefin trevally,Caranx,melampygus
601917,Caranx sexfasciatus,Bigeye trevally,Caranx,sexfasciatus
602532,Ginglymostoma cirratum,Nurse shark,Ginglymostoma,cirratum
602534,Alopias superciliosus,Bigeye thresher,Alopias,superciliosus
602535,Alopias vulpinus,Thresher,Alopias,vulpinus
603334,Mycteroperca xenarcha,Broomtail grouper,Mycteroperca,xenarcha
603539,Caulolatilus princeps,Ocean whitefish,Caulolatilus,princeps
603915,Tetrapturus angustirostris,Shortbill spearfish,Tetrapturus,angustirostris
605548,Scarus ghobban,Bluebarred parrotfish,Scarus,ghobban
690032,Xiphopenaeus kroyeri,Atlantic seabob,Xiphopenaeus,kroyeri
690206,Dosidicus gigas,Jumbo flying squid,Dosidicus,gigas
690433,Litopenaeus occidentalis,Western white shrimp,Litopenaeus,occidentalis
690619,Panulirus gracilis,Blue spiny lobster,Panulirus,gracilis
