"","Seq","Lat","Lon","prop"
"1",115377,9.75,-91.75,1
"2",115378,9.75,-91.25,1
"3",115379,9.75,-90.75,1
"4",115380,9.75,-90.25,1
"5",115381,9.75,-89.75,1
"6",115382,9.75,-89.25,1
"7",115383,9.75,-88.75,1
"8",115384,9.75,-88.25,1
"9",115385,9.75,-87.75,1
"10",115386,9.75,-87.25,1
"11",115387,9.75,-86.75,1
"12",115388,9.75,-86.25,1
"13",115389,9.75,-85.75,1
"14",115390,9.75,-85.25,1
"15",115391,9.75,-84.75,1
"16",115392,9.75,-84.25,1
"17",115395,9.75,-82.75,1
"18",115396,9.75,-82.25,1
"19",116097,9.25,-91.75,1
"20",116098,9.25,-91.25,1
"21",116099,9.25,-90.75,1
"22",116100,9.25,-90.25,1
"23",116101,9.25,-89.75,1
"24",116102,9.25,-89.25,1
"25",116103,9.25,-88.75,1
"26",116104,9.25,-88.25,1
"27",116105,9.25,-87.75,1
"28",116106,9.25,-87.25,1
"29",116107,9.25,-86.75,1
"30",116108,9.25,-86.25,1
"31",116109,9.25,-85.75,1
"32",116110,9.25,-85.25,1
"33",116111,9.25,-84.75,1
"34",116112,9.25,-84.25,1
"35",116113,9.25,-83.75,1
"36",116116,9.25,-82.25,1
"37",116817,8.75,-91.75,1
"38",116818,8.75,-91.25,1
"39",116819,8.75,-90.75,1
"40",116820,8.75,-90.25,1
"41",116821,8.75,-89.75,1
"42",116822,8.75,-89.25,1
"43",116823,8.75,-88.75,1
"44",116824,8.75,-88.25,1
"45",116825,8.75,-87.75,1
"46",116826,8.75,-87.25,1
"47",116827,8.75,-86.75,1
"48",116828,8.75,-86.25,1
"49",116829,8.75,-85.75,1
"50",116830,8.75,-85.25,1
"51",116831,8.75,-84.75,1
"52",116832,8.75,-84.25,1
"53",116833,8.75,-83.75,1
"54",116834,8.75,-83.25,1
"55",116836,8.75,-82.25,1
"56",117537,8.25,-91.75,1
"57",117538,8.25,-91.25,1
"58",117539,8.25,-90.75,1
"59",117540,8.25,-90.25,1
"60",117541,8.25,-89.75,1
"61",117542,8.25,-89.25,1
"62",117543,8.25,-88.75,1
"63",117544,8.25,-88.25,1
"64",117545,8.25,-87.75,1
"65",117546,8.25,-87.25,1
"66",117547,8.25,-86.75,1
"67",117548,8.25,-86.25,1
"68",117549,8.25,-85.75,1
"69",117550,8.25,-85.25,1
"70",117551,8.25,-84.75,1
"71",117552,8.25,-84.25,1
"72",117553,8.25,-83.75,1
"73",117554,8.25,-83.25,1
"74",117555,8.25,-82.75,1
"75",117556,8.25,-82.25,1
"76",118257,7.75,-91.75,1
"77",118258,7.75,-91.25,1
"78",118259,7.75,-90.75,1
"79",118260,7.75,-90.25,1
"80",118261,7.75,-89.75,1
"81",118262,7.75,-89.25,1
"82",118263,7.75,-88.75,1
"83",118264,7.75,-88.25,1
"84",118265,7.75,-87.75,1
"85",118266,7.75,-87.25,1
"86",118267,7.75,-86.75,1
"87",118268,7.75,-86.25,1
"88",118269,7.75,-85.75,1
"89",118270,7.75,-85.25,1
"90",118271,7.75,-84.75,1
"91",118272,7.75,-84.25,1
"92",118273,7.75,-83.75,1
"93",118274,7.75,-83.25,1
"94",118275,7.75,-82.75,1
"95",118276,7.75,-82.25,1
"96",118977,7.25,-91.75,1
"97",118978,7.25,-91.25,1
"98",118979,7.25,-90.75,1
"99",118980,7.25,-90.25,1
"100",118981,7.25,-89.75,1.01404039141315
"101",118982,7.25,-89.25,1.01404039141315
"102",118983,7.25,-88.75,1.01404039141315
"103",118984,7.25,-88.25,1.01404039141315
"104",118985,7.25,-87.75,1.01404039141315
"105",118986,7.25,-87.25,1.01404039141315
"106",118987,7.25,-86.75,1.01404039141315
"107",118988,7.25,-86.25,1.01404039141315
"108",118989,7.25,-85.75,1.01404039141315
"109",118990,7.25,-85.25,1
"110",118991,7.25,-84.75,1
"111",118992,7.25,-84.25,1
"112",118993,7.25,-83.75,1
"113",118994,7.25,-83.25,1
"114",118995,7.25,-82.75,1
"115",118996,7.25,-82.25,1
"116",119697,6.75,-91.75,1
"117",119698,6.75,-91.25,1
"118",119699,6.75,-90.75,1
"119",119700,6.75,-90.25,1
"120",119701,6.75,-89.75,1.01404039141315
"121",119702,6.75,-89.25,0.953991011429398
"122",119703,6.75,-88.75,0.92745756658168
"123",119704,6.75,-88.25,0.926632146830481
"124",119705,6.75,-87.75,0.926308827474388
"125",119706,6.75,-87.25,0.926487340464421
"126",119707,6.75,-86.75,0.927167385732603
"127",119708,6.75,-86.25,0.932887355167232
"128",119709,6.75,-85.75,1.01404039141315
"129",119710,6.75,-85.25,1
"130",119711,6.75,-84.75,1
"131",119712,6.75,-84.25,1
"132",119713,6.75,-83.75,1
"133",119714,6.75,-83.25,1
"134",119715,6.75,-82.75,1
